Filename,ML Task Feature (Additive - label),ML Task Feature (Additive - concentration),ML Task Feature (Additive - pKa (COOH group)),ML Task Feature (Additive - pKb (NH2 group)),ML Task Feature (Additive - pI),ML Task Feature (Additive - pKc (other group)),ML Task Target (Calcite unit-cell length a),ML Task Target (Calcite unit-cell length c),ML Task Target (Calcite phase present),ML Task Target (Vaterite unit-cell length a),ML Task Target (Vaterite unit-cell length c),ML Task Target (Vaterite phase present),ML Task Target (Degree of Crystallinity),Excluded (True/False),Split (train/test/validation)
579178-mythen_summed.xye,Ala,0.25,2.33,9.71,6,,4.99237,17.0656,TRUE,4.12869,8.46834,TRUE,59.03792,False,
579179-mythen_summed.xye,Ala,0.5,2.33,9.71,6,,4.99248,17.06801,TRUE,4.12808,8.46986,TRUE,57.4995,False,
579180-mythen_summed.xye,Ala,0.75,2.33,9.71,6,,4.99377,17.0663,TRUE,4.12858,8.46881,TRUE,56.02136,False,
579182-mythen_summed.xye,Ala,1,2.33,9.71,6,,4.99321,17.0733,TRUE,,,FALSE,76.07531,False,
579183-mythen_summed.xye,Ala,1.25,2.33,9.71,6,,4.99059,17.07537,TRUE,4.12861,8.46775,TRUE,62.6024,False,
579185-mythen_summed.xye,Ala,1.75,2.33,9.71,6,,4.99473,17.06121,TRUE,4.12929,8.46897,TRUE,58.88214,False,
579186-mythen_summed.xye,Ala,2,2.33,9.71,6,,4.99321,17.07737,TRUE,4.12908,8.47071,TRUE,57.49241,False,
578603-mythen_summed.xye,Arg,0,2.03,9,10.76,12.1,4.99794,17.05265,TRUE,4.12792,8.47051,TRUE,62.08652,False,
578604-mythen_summed.xye,Arg,0.25,2.03,9,10.76,12.1,4.9986,17.05323,TRUE,4.12645,8.47507,TRUE,59.07214,False,
578605-mythen_summed.xye,Arg,0.5,2.03,9,10.76,12.1,4.99864,17.05164,TRUE,4.12486,8.47629,TRUE,58.732,False,
578606-mythen_summed.xye,Arg,0.75,2.03,9,10.76,12.1,4.99802,17.05598,TRUE,4.12869,8.47002,TRUE,58.63632,False,
578607-mythen_summed.xye,Arg,1,2.03,9,10.76,12.1,4.99724,17.05535,TRUE,4.12505,8.47755,TRUE,60.3538,False,
578608-mythen_summed.xye,Arg,1.25,2.03,9,10.76,12.1,4.99903,17.05557,TRUE,,,FALSE,65.11344,False,
578609-mythen_summed.xye,Arg,1.5,2.03,9,10.76,12.1,4.99538,17.06388,TRUE,,,FALSE,65.85548,False,
578610-mythen_summed.xye,Arg,1.75,2.03,9,10.76,12.1,4.99713,17.05645,TRUE,4.12877,8.46911,TRUE,58.89711,False,
578611-mythen_summed.xye,Arg,2,2.03,9,10.76,12.1,4.99897,17.05368,TRUE,4.12791,8.47174,TRUE,59.69131,False,
578967-mythen_summed.xye,Arg,0,2.03,9,10.76,12.1,4.99781,17.05493,TRUE,4.12648,8.4752,TRUE,64.50212,False,
578968-mythen_summed.xye,Arg,0.25,2.03,9,10.76,12.1,4.99993,17.05545,TRUE,4.12678,8.47697,TRUE,65.83859,False,
578969-mythen_summed.xye,Arg,0.5,2.03,9,10.76,12.1,4.99845,17.05288,TRUE,4.12573,8.47592,TRUE,56.61867,False,
578970-mythen_summed.xye,Arg,0.75,2.03,9,10.76,12.1,4.99898,17.0559,TRUE,4.12677,8.47471,TRUE,58.01703,False,
578971-mythen_summed.xye,Arg,1,2.03,9,10.76,12.1,4.99874,17.05046,TRUE,4.12559,8.47372,TRUE,58.0872,False,
578972-mythen_summed.xye,Arg,1.25,2.03,9,10.76,12.1,4.99927,17.0512,TRUE,4.1242,8.47864,TRUE,59.16563,False,
578973-mythen_summed.xye,Arg,1.5,2.03,9,10.76,12.1,5.0001,17.05453,TRUE,4.12598,8.47822,TRUE,64.60876,False,
578974-mythen_summed.xye,Arg,1.75,2.03,9,10.76,12.1,4.99816,17.05407,TRUE,4.12728,8.47362,TRUE,59.71182,False,
578975-mythen_summed.xye,Arg,2,2.03,9,10.76,12.1,5.00003,17.0559,TRUE,4.12709,8.4758,TRUE,67.69288,False,
579141-mythen_summed.xye,Arg,0,2.03,9,10.76,12.1,4.9958,17.05593,TRUE,4.12789,8.47058,TRUE,58.76082,False,
579142-mythen_summed.xye,Arg,0.5,2.03,9,10.76,12.1,4.99762,17.05524,TRUE,,,FALSE,62.0161,False,
579143-mythen_summed.xye,Arg,0.75,2.03,9,10.76,12.1,4.99507,17.05731,TRUE,,,FALSE,58.69758,False,
579144-mythen_summed.xye,Arg,1,2.03,9,10.76,12.1,4.99669,17.0577,TRUE,,,FALSE,61.25886,False,
579145-mythen_summed.xye,Arg,1.25,2.03,9,10.76,12.1,4.9974,17.05711,TRUE,4.12689,8.47481,TRUE,59.62096,False,
579146-mythen_summed.xye,Arg,1.5,2.03,9,10.76,12.1,4.99139,17.06868,TRUE,4.12755,8.46917,TRUE,56.91796,False,
579147-mythen_summed.xye,Arg,1.75,2.03,9,10.76,12.1,4.99835,17.05378,TRUE,,,FALSE,59.39875,False,
579148-mythen_summed.xye,Arg,2,2.03,9,10.76,12.1,4.99648,17.05571,TRUE,,,FALSE,59.02736,False,
578472-mythen_summed.xye,Asn,0,2.16,8.73,5.41,,4.99778,17.05465,TRUE,4.12727,8.47153,TRUE,59.49313,False,
578473-mythen_summed.xye,Asn,0.25,2.16,8.73,5.41,,4.99605,17.06981,TRUE,4.1269,8.47372,TRUE,56.7038,False,
578474-mythen_summed.xye,Asn,0.5,2.16,8.73,5.41,,4.995,17.07738,TRUE,4.12739,8.47297,TRUE,56.21504,False,
578475-mythen_summed.xye,Asn,0.75,2.16,8.73,5.41,,4.99425,17.07923,TRUE,4.12659,8.47382,TRUE,55.72644,False,
578476-mythen_summed.xye,Asn,1,2.16,8.73,5.41,,4.99275,17.07559,TRUE,4.12696,8.47331,TRUE,55.7295,False,
578477-mythen_summed.xye,Asn,1.25,2.16,8.73,5.41,,4.99252,17.07576,TRUE,4.12705,8.47344,TRUE,56.7598,False,
578480-mythen_summed.xye,Asn,2,2.16,8.73,5.41,,4.99186,17.08501,TRUE,4.12522,8.4775,TRUE,58.04553,False,
578807-mythen_summed.xye,Asn,0,2.16,8.73,5.41,,4.99764,17.05491,TRUE,4.12671,8.47326,TRUE,55.60865,False,
578808-mythen_summed.xye,Asn,0.25,2.16,8.73,5.41,,4.9958,17.06539,TRUE,4.12687,8.47265,TRUE,58.15357,False,
578809-mythen_summed.xye,Asn,0.5,2.16,8.73,5.41,,4.99518,17.07898,TRUE,4.12753,8.47133,TRUE,56.65707,False,
578810-mythen_summed.xye,Asn,0.75,2.16,8.73,5.41,,4.99356,17.0828,TRUE,4.12732,8.47117,TRUE,55.71717,False,
578811-mythen_summed.xye,Asn,1,2.16,8.73,5.41,,4.99356,17.08349,TRUE,4.12793,8.47156,TRUE,53.32147,False,
578812-mythen_summed.xye,Asn,1.25,2.16,8.73,5.41,,4.99346,17.08253,TRUE,4.12714,8.47515,TRUE,55.8917,False,
578813-mythen_summed.xye,Asn,1.5,2.16,8.73,5.41,,4.99334,17.08441,TRUE,4.1279,8.47246,TRUE,54.13927,False,
578814-mythen_summed.xye,Asn,1.75,2.16,8.73,5.41,,4.99361,17.08545,TRUE,4.12817,8.47313,TRUE,55.39828,False,
579021-mythen_summed.xye,Asn,0,2.16,8.73,5.41,,4.99537,17.05631,TRUE,4.12745,8.47116,TRUE,60.0252,False,
579022-mythen_summed.xye,Asn,0.25,2.16,8.73,5.41,,4.99483,17.07082,TRUE,4.12814,8.47186,TRUE,57.60967,False,
579023-mythen_summed.xye,Asn,0.5,2.16,8.73,5.41,,4.99491,17.08149,TRUE,4.12736,8.47256,TRUE,55.99577,False,
579024-mythen_summed.xye,Asn,0.75,2.16,8.73,5.41,,4.99405,17.07732,TRUE,4.1268,8.47432,TRUE,57.23498,False,
579025-mythen_summed.xye,Asn,1,2.16,8.73,5.41,,4.99338,17.07598,TRUE,4.12681,8.47484,TRUE,59.17479,False,
579026-mythen_summed.xye,Asn,1.25,2.16,8.73,5.41,,4.99338,17.07497,TRUE,4.12578,8.47659,TRUE,59.3879,False,
579027-mythen_summed.xye,Asn,1.5,2.16,8.73,5.41,,4.99305,17.07982,TRUE,4.12796,8.4733,TRUE,58.01099,False,
579028-mythen_summed.xye,Asn,0,2.16,8.73,5.41,,4.99758,17.05652,TRUE,,,FALSE,64.30738,False,
579029-mythen_summed.xye,Asn,0.25,2.16,8.73,5.41,,4.9954,17.06913,TRUE,4.12787,8.47241,TRUE,59.31202,False,
579030-mythen_summed.xye,Asn,0.5,2.16,8.73,5.41,,4.99559,17.08229,TRUE,,,FALSE,59.85527,False,
579031-mythen_summed.xye,Asn,0.75,2.16,8.73,5.41,,4.99622,17.07694,TRUE,,,FALSE,60.36355,False,
579032-mythen_summed.xye,Asn,1,2.16,8.73,5.41,,4.99447,17.08709,TRUE,4.12707,8.47583,TRUE,61.45765,False,
579033-mythen_summed.xye,Asn,1.25,2.16,8.73,5.41,,4.99251,17.0826,TRUE,4.12721,8.47554,TRUE,56.83352,False,
579034-mythen_summed.xye,Asn,1.5,2.16,8.73,5.41,,4.99322,17.08145,TRUE,4.1262,8.47671,TRUE,59.40839,False,
579035-mythen_summed.xye,Asn,1.75,2.16,8.73,5.41,,4.99245,17.07991,TRUE,4.12524,8.47612,TRUE,61.42006,False,
579036-mythen_summed.xye,Asn,2,2.16,8.73,5.41,,4.99203,17.08155,TRUE,4.12606,8.47662,TRUE,59.0956,False,
578412-mythen_summed.xye,Asp,0,1.95,9.66,2.77,3.71,4.99622,17.05396,TRUE,4.12702,8.47063,TRUE,58.15456,False,
578413-mythen_summed.xye,Asp,0.1,1.95,9.66,2.77,3.71,4.99475,17.07294,TRUE,4.12649,8.47354,TRUE,58.66647,False,
578414-mythen_summed.xye,Asp,0.2,1.95,9.66,2.77,3.71,4.99377,17.07959,TRUE,4.12562,8.47567,TRUE,55.97364,False,
578415-mythen_summed.xye,Asp,0.25,1.95,9.66,2.77,3.71,4.99274,17.08041,TRUE,4.12485,8.47719,TRUE,56.54851,False,
578416-mythen_summed.xye,Asp,0.3,1.95,9.66,2.77,3.71,4.99193,17.07893,TRUE,4.12553,8.47523,TRUE,57.43673,False,
578417-mythen_summed.xye,Asp,0.35,1.95,9.66,2.77,3.71,4.99357,17.09094,TRUE,4.12654,8.47324,TRUE,52.81863,False,
578418-mythen_summed.xye,Asp,0.4,1.95,9.66,2.77,3.71,4.99796,17.05843,TRUE,4.12717,8.47395,TRUE,60.41988,False,
578419-mythen_summed.xye,Asp,0.45,1.95,9.66,2.77,3.71,4.99048,17.07836,TRUE,4.12673,8.47296,TRUE,49.08324,False,
578420-mythen_summed.xye,Asp,0.5,1.95,9.66,2.77,3.71,4.99268,17.09653,TRUE,4.12771,8.47458,TRUE,52.29671,False,
578583-mythen_summed.xye,Asp,0,1.95,9.66,2.77,3.71,4.99368,17.06207,TRUE,,,FALSE,63.85901,False,
578584-mythen_summed.xye,Asp,0.1,1.95,9.66,2.77,3.71,4.99384,17.07813,TRUE,,,FALSE,55.76694,False,
578585-mythen_summed.xye,Asp,0.2,1.95,9.66,2.77,3.71,4.99265,17.06973,TRUE,,,FALSE,59.11851,False,
578586-mythen_summed.xye,Asp,0.25,1.95,9.66,2.77,3.71,4.99442,17.09038,TRUE,,,FALSE,55.0582,False,
578587-mythen_summed.xye,Asp,0.3,1.95,9.66,2.77,3.71,4.99222,17.06522,TRUE,4.11689,8.42952,TRUE,55.22786,False,
578588-mythen_summed.xye,Asp,0.35,1.95,9.66,2.77,3.71,4.99476,17.0787,TRUE,4.12753,8.47318,TRUE,55.9624,False,
