Filename,FileURL,Maximum Intensity,Weighted pattern R-factor (R_wp),Goodness of Fit,Calcite phase present,Calcite unit-cell length a,Calcite unit-cell length b,Calcite unit-cell length c,Calcite unit-cell angle alpha,Calcite unit-cell angle beta,Calcite unit-cell angle gamma,Calcite weight percentage,Vaterite phase present,Vaterite unit-cell length a,Vaterite unit-cell length b,Vaterite unit-cell length c,Vaterite unit-cell angle alpha,Vaterite unit-cell angle beta,Vaterite unit-cell angle gamma,Vaterite weight percentage,Additive - label,Additive - concentration,Additive - ChEBI URL,Additive - ChEBI molecule class URLs,Additive - ChEBI molecule class names,Additive - name,Additive - IUPAC name,Additive - formula,Additive - mass,Additive - canonical SMILES,Additive - standard InChI,Additive - standard InChIKey,Additive – pKa (COOH group),Additive – pKb (NH2 group),Additive – pKc (other group),Additive – pI
578729-mythen_summed.xye,https://data-collections-dev.psdi.ac.uk/api/records/3x7bm-p2605/files/578729-mythen_summed.xye/content,1150817.8316249999,6.52522,8.03173,TRUE,4.9926,4.9926,17.06617,90,90,120,45.25764,TRUE,4.12673,4.12673,8.47324,90,90,120,54.74236,AdiAci,0.2,https://www.ebi.ac.uk/chebi/CHEBI:30832,"[https://www.ebi.ac.uk/chebi/CHEBI:28383, https://www.ebi.ac.uk/chebi/CHEBI:189840]","[C4-dicarboxylic acid, dicarboxylic fatty acid]",,hexanedioic acid,C6H10O4,146.142,O=C(O)CCCCC(=O)O,"InChI=1S/C6H10O4/c7-5(8)3-1-2-4-6(9)10/h1-4H2,(H,7,8)(H,9,10)",WNLRTRBMVRJNCN-UHFFFAOYSA-N,4.41,5.41,,
578731-mythen_summed.xye,https://data-collections-dev.psdi.ac.uk/api/records/krqh4-0bj03/files/578731-mythen_summed.xye/content,830026.86,5.49698,6.66217,TRUE,4.99153,4.99153,17.06769,90,90,120,40.37029,TRUE,4.12762,4.12762,8.47106,90,90,120,59.62971,AdiAci,0.4,https://www.ebi.ac.uk/chebi/CHEBI:30832,"[https://www.ebi.ac.uk/chebi/CHEBI:28383, https://www.ebi.ac.uk/chebi/CHEBI:189840]","[C4-dicarboxylic acid, dicarboxylic fatty acid]",,hexanedioic acid,C6H10O4,146.142,O=C(O)CCCCC(=O)O,"InChI=1S/C6H10O4/c7-5(8)3-1-2-4-6(9)10/h1-4H2,(H,7,8)(H,9,10)",WNLRTRBMVRJNCN-UHFFFAOYSA-N,4.41,5.41,,
578733-mythen_summed.xye,https://data-collections-dev.psdi.ac.uk/api/records/xap33-kv261/files/578733-mythen_summed.xye/content,381068.75,5.96213,7.38911,TRUE,4.9924,4.9924,17.06691,90,90,120,15.75231,TRUE,4.12661,4.12661,8.47305,90,90,120,84.24769,AdiAci,0.7,https://www.ebi.ac.uk/chebi/CHEBI:30832,"[https://www.ebi.ac.uk/chebi/CHEBI:28383, https://www.ebi.ac.uk/chebi/CHEBI:189840]","[C4-dicarboxylic acid, dicarboxylic fatty acid]",,hexanedioic acid,C6H10O4,146.142,O=C(O)CCCCC(=O)O,"InChI=1S/C6H10O4/c7-5(8)3-1-2-4-6(9)10/h1-4H2,(H,7,8)(H,9,10)",WNLRTRBMVRJNCN-UHFFFAOYSA-N,4.41,5.41,,
578734-mythen_summed.xye,https://data-collections-dev.psdi.ac.uk/api/records/e8v0a-eaw68/files/578734-mythen_summed.xye/content,88287.93212999999,3.84141,4.04606,TRUE,4.99115,4.99115,17.07374,90,90,120,50.21512,TRUE,4.12723,4.12723,8.46919,90,90,120,49.78488,AdiAci,0.8,https://www.ebi.ac.uk/chebi/CHEBI:30832,"[https://www.ebi.ac.uk/chebi/CHEBI:28383, https://www.ebi.ac.uk/chebi/CHEBI:189840]","[C4-dicarboxylic acid, dicarboxylic fatty acid]",,hexanedioic acid,C6H10O4,146.142,O=C(O)CCCCC(=O)O,"InChI=1S/C6H10O4/c7-5(8)3-1-2-4-6(9)10/h1-4H2,(H,7,8)(H,9,10)",WNLRTRBMVRJNCN-UHFFFAOYSA-N,4.41,5.41,,
578735-mythen_summed.xye,https://data-collections-dev.psdi.ac.uk/api/records/awmhd-xqw09/files/578735-mythen_summed.xye/content,1494774.85,6.67875,7.94025,TRUE,4.99155,4.99155,17.06934,90,90,120,85.65072,TRUE,4.1279,4.1279,8.47085,90,90,120,14.34928,AdiAci,1,https://www.ebi.ac.uk/chebi/CHEBI:30832,"[https://www.ebi.ac.uk/chebi/CHEBI:28383, https://www.ebi.ac.uk/chebi/CHEBI:189840]","[C4-dicarboxylic acid, dicarboxylic fatty acid]",,hexanedioic acid,C6H10O4,146.142,O=C(O)CCCCC(=O)O,"InChI=1S/C6H10O4/c7-5(8)3-1-2-4-6(9)10/h1-4H2,(H,7,8)(H,9,10)",WNLRTRBMVRJNCN-UHFFFAOYSA-N,4.41,5.41,,
579124-mythen_summed.xye,https://data-collections-dev.psdi.ac.uk/api/records/3wcba-21329/files/579124-mythen_summed.xye/content,1305608.36,5.72081,6.61278,TRUE,4.99521,4.99521,17.05942,90,90,120,89.55544,TRUE,4.12869,4.12869,8.47075,90,90,120,10.44456,AdiAci,0,,,,,,,,,,,4.41,5.41,,
579126-mythen_summed.xye,https://data-collections-dev.psdi.ac.uk/api/records/6fgm3-qj239/files/579126-mythen_summed.xye/content,699293.87,4.48109,5.10744,TRUE,4.99279,4.99279,17.06465,90,90,120,56.15328,TRUE,4.12692,4.12692,8.47343,90,90,120,43.84672,AdiAci,0.2,https://www.ebi.ac.uk/chebi/CHEBI:30832,"[https://www.ebi.ac.uk/chebi/CHEBI:28383, https://www.ebi.ac.uk/chebi/CHEBI:189840]","[C4-dicarboxylic acid, dicarboxylic fatty acid]",,hexanedioic acid,C6H10O4,146.142,O=C(O)CCCCC(=O)O,"InChI=1S/C6H10O4/c7-5(8)3-1-2-4-6(9)10/h1-4H2,(H,7,8)(H,9,10)",WNLRTRBMVRJNCN-UHFFFAOYSA-N,4.41,5.41,,
579127-mythen_summed.xye,https://data-collections-dev.psdi.ac.uk/api/records/p0m6k-j6k59/files/579127-mythen_summed.xye/content,196079.05883000002,4.09271,4.30625,TRUE,4.99291,4.99291,17.07158,90,90,120,50.08561,TRUE,4.12771,4.12771,8.474,90,90,120,49.91439,AdiAci,0.3,https://www.ebi.ac.uk/chebi/CHEBI:30832,"[https://www.ebi.ac.uk/chebi/CHEBI:28383, https://www.ebi.ac.uk/chebi/CHEBI:189840]","[C4-dicarboxylic acid, dicarboxylic fatty acid]",,hexanedioic acid,C6H10O4,146.142,O=C(O)CCCCC(=O)O,"InChI=1S/C6H10O4/c7-5(8)3-1-2-4-6(9)10/h1-4H2,(H,7,8)(H,9,10)",WNLRTRBMVRJNCN-UHFFFAOYSA-N,4.41,5.41,,
578661-mythen_summed.xye,https://data-collections-dev.psdi.ac.uk/api/records/q5a64-f2v58/files/578661-mythen_summed.xye/content,2125275.42,6.54107,8.08914,TRUE,4.99698,4.99698,17.05488,90,90,120,89.96907,TRUE,4.12214,4.12214,8.48079,90,90,120,10.03093,Ala,0,,,,,,,,,,,2.33,9.71,,6
578662-mythen_summed.xye,https://data-collections-dev.psdi.ac.uk/api/records/fc6v0-88480/files/578662-mythen_summed.xye/content,218419.95,6.7688,8.44809,TRUE,4.99688,4.99688,17.05659,90,90,120,9.67848,TRUE,4.12685,4.12685,8.47225,90,90,120,90.32152,Ala,0.25,https://www.ebi.ac.uk/chebi/CHEBI:16977,"[https://www.ebi.ac.uk/chebi/CHEBI:16449, https://www.ebi.ac.uk/chebi/CHEBI:83813, https://www.ebi.ac.uk/chebi/CHEBI:26463, https://www.ebi.ac.uk/chebi/CHEBI:15705]","[alanine, proteinogenic amino acid, pyruvate family amino acid, L-Î±-amino acid]",,L-alanine,C3H7NO2,89.094,C[C@H](N)C(=O)O,"InChI=1S/C3H7NO2/c1-2(4)3(5)6/h2H,4H2,1H3,(H,5,6)/t2-/m0/s1",QNAYBMKLOCPYGJ-REOHCLBHSA-N,2.33,9.71,,6
578663-mythen_summed.xye,https://data-collections-dev.psdi.ac.uk/api/records/wrm2t-55d66/files/578663-mythen_summed.xye/content,87759.15,2.16068,2.27315,TRUE,4.99597,4.99597,17.0591,90,90,120,21.51197,TRUE,4.12535,4.12535,8.47152,90,90,120,78.48803,Ala,0.5,https://www.ebi.ac.uk/chebi/CHEBI:16977,"[https://www.ebi.ac.uk/chebi/CHEBI:16449, https://www.ebi.ac.uk/chebi/CHEBI:83813, https://www.ebi.ac.uk/chebi/CHEBI:26463, https://www.ebi.ac.uk/chebi/CHEBI:15705]","[alanine, proteinogenic amino acid, pyruvate family amino acid, L-Î±-amino acid]",,L-alanine,C3H7NO2,89.094,C[C@H](N)C(=O)O,"InChI=1S/C3H7NO2/c1-2(4)3(5)6/h2H,4H2,1H3,(H,5,6)/t2-/m0/s1",QNAYBMKLOCPYGJ-REOHCLBHSA-N,2.33,9.71,,6
578664-mythen_summed.xye,https://data-collections-dev.psdi.ac.uk/api/records/p0rhj-95w97/files/578664-mythen_summed.xye/content,808288.31,4.40443,5.15668,TRUE,4.99618,4.99618,17.06716,90,90,120,69.31759,TRUE,4.12722,4.12722,8.47425,90,90,120,30.68241,Ala,0.75,https://www.ebi.ac.uk/chebi/CHEBI:16977,"[https://www.ebi.ac.uk/chebi/CHEBI:16449, https://www.ebi.ac.uk/chebi/CHEBI:83813, https://www.ebi.ac.uk/chebi/CHEBI:26463, https://www.ebi.ac.uk/chebi/CHEBI:15705]","[alanine, proteinogenic amino acid, pyruvate family amino acid, L-Î±-amino acid]",,L-alanine,C3H7NO2,89.094,C[C@H](N)C(=O)O,"InChI=1S/C3H7NO2/c1-2(4)3(5)6/h2H,4H2,1H3,(H,5,6)/t2-/m0/s1",QNAYBMKLOCPYGJ-REOHCLBHSA-N,2.33,9.71,,6
